Jurisdiction,Sub-Jurisdiction,Topical Area,Supplemental Act Name,Award Name,Amount
Nevada,,Vaccine Preparedness,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",COVID-19 Vaccine Preparedness/2,27831837
Illinois,Chicago,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #3,1712084
Washington,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",Influenza Season Early Preparedness,3314120
Arkansas,,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Epi & Lab Capacity,0
Ohio,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness Adjustment/2,0
Rhode Island,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Public Health Laboratory Preparedness,142473
Maine,,School Testing,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for School Testing,40487006
Idaho,,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,5075000
Pennsylvania,Philadelphia,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Infection Control Training,805967
District of Columbia,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #3,0
Northern Marianas,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #2,369766
Colorado,,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",22581706
American Samoa,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 Among People Experiencing Homelessness,53144
Florida,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,8792153
California,Los Angeles County,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",Influenza Season Early Preparedness,0
Florida,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness,15768161
Iowa,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,453891
Illinois,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #1,1750000
Florida,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #2,27296306
South Dakota,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,263150
Colorado,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC National Wastewater Surveillance System (NWSS) Centers of Excellence,1466085
Louisiana,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Public Health Laboratory Preparedness,142473
Alabama,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",Influenza Season Early Preparedness,1761951
Palau,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC State-based Nursing Home and Long Term Care Strike Teams,6536
Washington,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #1,1750000
New York,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC National Wastewater Surveillance System (NWSS),6604675
Arkansas,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness Adjustment/2,3828419
Vermont,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for Genomic Sequencing,1242807
Arkansas,,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",40411710
Maine,,Public Health Workforce,American Rescue Plan Act of 2021,Crisis CoAg Workforce,8861778
Washington,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for Genomic Sequencing,5083469
Kansas,,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,6600607
Alaska,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness,537073
New Hampshire,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,410480
Utah,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #3,0
Texas,Dallas County,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",30394909
Oklahoma,,Addressing Health Disparities,"Coronavirus Aid, Relief, and Economic Security Act/5",Community Health Workers for COVID Response and Resilient Communities (CCR),2000000
New Mexico,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity,880000
American Samoa,,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",583215
North Carolina,,Addressing Health Disparities,"Coronavirus Aid, Relief, and Economic Security Act/5",Community Health Workers for COVID Response and Resilient Communities (CCR),6000000
Massachusetts,Boston,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",5645162
Georgia,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #2,14786285
Texas,San Antonio,All Other,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Emerging Infections Program Award,0
California,,School Testing,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for School Testing,887715802
Marshall Islands,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness/3,1248812
Idaho,,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Epi & Lab Capacity,0
Guam,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 Among People Experiencing Homelessness,449760
Minnesota,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,866392
California,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity,9071500
South Dakota,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity,846000
Oregon,,All Other,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",All Other STLT Awards,629640
California,Los Angeles County,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Infection Control Training,1866315
Delaware,,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Epi & Lab Capacity,0
New York,,Public Health Workforce,American Rescue Plan Act of 2021,DIS Workforce,14079945
Alaska,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity for HHS,53127495
Texas,Houston,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity for HHS,62239284
Illinois,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,6216228
Texas,,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Epi & Lab Capacity,0
Maryland,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness,4438515
Marshall Islands,,School Testing,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for School Testing,2346310
Oklahoma,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,1918150
Florida,,Vaccine Preparedness,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",COVID-19 Vaccine Preparedness/2,194069672
Arizona,Pima County,Public Health Workforce,American Rescue Plan Act of 2021/6,"Strengthening U.S. Public Health Infrastructure, Workforce, and Data Systems",11924381
Connecticut,,Epi and Lab Capacity,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",ELC Epi & Lab Capacity for HHS,205212155
Nebraska,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #3,0
Texas,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 Among People Experiencing Homelessness,2968416
Texas,Harris County,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",27627507
New Mexico,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 Among People Experiencing Homelessness,1124400
Indiana,,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,11527724
Pennsylvania,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,329725
North Dakota,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #2,4567500
Virgin Islands,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,50000
South Dakota,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC State-based Nursing Home and Long Term Care Strike Teams,3137311
Palau,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,100000
Illinois,Chicago,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC National Wastewater Surveillance System (NWSS),259284
Wisconsin,,Public Health Workforce,American Rescue Plan Act of 2021,Crisis CoAg Workforce,35053171
Hawaii,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC State-based Nursing Home and Long Term Care Strike Teams,1910695
Maine,,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,5075000
Maryland,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Public Health Laboratory Preparedness,142473
West Virginia,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,908926
Nebraska,,Public Health Workforce,American Rescue Plan Act of 2021,DIS Workforce,3310512
Georgia,,Data Modernization,"Coronavirus Aid, Relief, and Economic Security Act",ELC Accelerating Data Modernization in Jurisdictions,3621882
South Dakota,,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",37422829
South Carolina,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC Strengthening Healthcare Associated Infections and Antibiotic Resistance Programs,5914501
West Virginia,,Data Modernization,"Coronavirus Aid, Relief, and Economic Security Act",ELC Accelerating Data Modernization in Jurisdictions,3230602
Guam,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,55177
Nevada,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",Influenza Season Early Preparedness,1279710
Pennsylvania,Philadelphia,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,1131270
Mississippi,,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",48397359
Minnesota,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC National Wastewater Surveillance System (NWSS),2223762
Wisconsin,,Addressing Health Disparities,"Coronavirus Aid, Relief, and Economic Security Act",Community Health Workers for COVID Response and Resilient Communities (CCR) - Technical Assistance and Evaluation,5080000
Kentucky,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC Strengthening Healthcare Associated Infections and Antibiotic Resistance Programs,6050877
Iowa,,Public Health Workforce,American Rescue Plan Act of 2021,DIS Workforce,4672767
Nevada,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 Among People Experiencing Homelessness,1439232
Wisconsin,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,735832
North Carolina,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 in Confinement Facilities,20230000
Idaho,,School Testing,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for School Testing,53825522
Montana,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for Genomic Sequencing,1487165
New Jersey,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #3,5614731
Palau,,All Other,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Emerging Infections Program Award,0
New York,,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",33726393
Wisconsin,,Epi and Lab Capacity,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",ELC Epi & Lab Capacity for HHS,335129886
